"REF_DATE","GEO","DGUID","Age","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Newfoundland and Labrador","2016A000210","17 years","Females","Number","223","units ","0","v66461859","2.16.3","3489","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","18 years","Total, sex","Number","223","units ","0","v66461860","2.17.1","1722","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","18 years","Males","Number","223","units ","0","v66461861","2.17.2","1104","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","18 years","Females","Number","223","units ","0","v66461862","2.17.3","618","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","19 years","Total, sex","Number","223","units ","0","v66461863","2.18.1","351","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","19 years","Males","Number","223","units ","0","v66461864","2.18.2","219","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","19 years","Females","Number","223","units ","0","v66461865","2.18.3","132","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","20 years","Total, sex","Number","223","units ","0","v66461866","2.19.1","111","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","20 years","Males","Number","223","units ","0","v66461867","2.19.2","66","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","20 years","Females","Number","223","units ","0","v66461868","2.19.3","45","","","","0"
"2002/2003","Prince Edward Island","2016A000211","Total, age","Total, sex","Number","223","units ","0","v66461872","3.1.1","23244","","","","0"
"2002/2003","Prince Edward Island","2016A000211","Total, age","Males","Number","223","units ","0","v66461873","3.1.2","11964","","","","0"
"2002/2003","Prince Edward Island","2016A000211","Total, age","Females","Number","223","units ","0","v66461874","3.1.3","11280","","","","0"
"2002/2003","Prince Edward Island","2016A000211","4 years","Total, sex","Number","223","units ","0","v66461878","3.3.1","0","","","","0"
"2002/2003","Prince Edward Island","2016A000211","4 years","Males","Number","223","units ","0","v66461879","3.3.2","3","","","","0"
"2002/2003","Prince Edward Island","2016A000211","4 years","Females","Number","223","units ","0","v66461880","3.3.3","0","","","","0"
"2002/2003","Prince Edward Island","2016A000211","5 years","Total, sex","Number","223","units ","0","v66461881","3.4.1","426","","","","0"
"2002/2003","Prince Edward Island","2016A000211","5 years","Males","Number","223","units ","0","v66461882","3.4.2","204","","","","0"
"2002/2003","Prince Edward Island","2016A000211","5 years","Females","Number","223","units ","0","v66461883","3.4.3","222","","","","0"
"2002/2003","Prince Edward Island","2016A000211","6 years","Total, sex","Number","223","units ","0","v66461884","3.5.1","1707","","","","0"
"2002/2003","Prince Edward Island","2016A000211","6 years","Males","Number","223","units ","0","v66461885","3.5.2","891","","","","0"
"2002/2003","Prince Edward Island","2016A000211","6 years","Females","Number","223","units ","0","v66461886","3.5.3","813","","","","0"
"2002/2003","Prince Edward Island","2016A000211","7 years","Total, sex","Number","223","units ","0","v66461887","3.6.1","1740","","","","0"
"2002/2003","Prince Edward Island","2016A000211","7 years","Males","Number","223","units ","0","v66461888","3.6.2","912","","","","0"
"2002/2003","Prince Edward Island","2016A000211","7 years","Females","Number","223","units ","0","v66461889","3.6.3","831","","","","0"
"2002/2003","Prince Edward Island","2016A000211","8 years","Total, sex","Number","223","units ","0","v66461890","3.7.1","1692","","","","0"
"2002/2003","Prince Edward Island","2016A000211","8 years","Males","Number","223","units ","0","v66461891","3.7.2","846","","","","0"
"2002/2003","Prince Edward Island","2016A000211","8 years","Females","Number","223","units ","0","v66461892","3.7.3","849","","","","0"
"2002/2003","Prince Edward Island","2016A000211","9 years","Total, sex","Number","223","units ","0","v66461893","3.8.1","1872","","","","0"
"2002/2003","Prince Edward Island","2016A000211","9 years","Males","Number","223","units ","0","v66461894","3.8.2","978","","","","0"
"2002/2003","Prince Edward Island","2016A000211","9 years","Females","Number","223","units ","0","v66461895","3.8.3","891","","","","0"
"2002/2003","Prince Edward Island","2016A000211","10 years","Total, sex","Number","223","units ","0","v66461896","3.9.1","1848","","","","0"
"2002/2003","Prince Edward Island","2016A000211","10 years","Males","Number","223","units ","0","v66461897","3.9.2","945","","","","0"
"2002/2003","Prince Edward Island","2016A000211","10 years","Females","Number","223","units ","0","v66461898","3.9.3","903","","","","0"
"2002/2003","Prince Edward Island","2016A000211","11 years","Total, sex","Number","223","units ","0","v66461899","3.10.1","2001","","","","0"
"2002/2003","Prince Edward Island","2016A000211","11 years","Males","Number","223","units ","0","v66461900","3.10.2","1026","","","","0"
"2002/2003","Prince Edward Island","2016A000211","11 years","Females","Number","223","units ","0","v66461901","3.10.3","975","","","","0"
"2002/2003","Prince Edward Island","2016A000211","12 years","Total, sex","Number","223","units ","0","v66461902","3.11.1","1953","","","","0"
"2002/2003","Prince Edward Island","2016A000211","12 years","Males","Number","223","units ","0","v66461903","3.11.2","984","","","","0"
"2002/2003","Prince Edward Island","2016A000211","12 years","Females","Number","223","units ","0","v66461904","3.11.3","969","","","","0"
"2002/2003","Prince Edward Island","2016A000211","13 years","Total, sex","Number","223","units ","0","v66461905","3.12.1","2034","","","","0"
"2002/2003","Prince Edward Island","2016A000211","13 years","Males","Number","223","units ","0","v66461906","3.12.2","1071","","","","0"
"2002/2003","Prince Edward Island","2016A000211","13 years","Females","Number","223","units ","0","v66461907","3.12.3","966","","","","0"
"2002/2003","Prince Edward Island","2016A000211","14 years","Total, sex","Number","223","units ","0","v66461908","3.13.1","1890","","","","0"
"2002/2003","Prince Edward Island","2016A000211","14 years","Males","Number","223","units ","0","v66461909","3.13.2","954","","","","0"
"2002/2003","Prince Edward Island","2016A000211","14 years","Females","Number","223","units ","0","v66461910","3.13.3","936","","","","0"
"2002/2003","Prince Edward Island","2016A000211","15 years","Total, sex","Number","223","units ","0","v66461911","3.14.1","1983","","","","0"
"2002/2003","Prince Edward Island","2016A000211","15 years","Males","Number","223","units ","0","v66461912","3.14.2","966","","","","0"
"2002/2003","Prince Edward Island","2016A000211","15 years","Females","Number","223","units ","0","v66461913","3.14.3","1014","","","","0"
"2002/2003","Prince Edward Island","2016A000211","16 years","Total, sex","Number","223","units ","0","v66461914","3.15.1","1995","","","","0"
"2002/2003","Prince Edward Island","2016A000211","16 years","Males","Number","223","units ","0","v66461915","3.15.2","1023","","","","0"
"2002/2003","Prince Edward Island","2016A000211","16 years","Females","Number","223","units ","0","v66461916","3.15.3","972","","","","0"
"2002/2003","Prince Edward Island","2016A000211","17 years","Total, sex","Number","223","units ","0","v66461917","3.16.1","1602","","","","0"
"2002/2003","Prince Edward Island","2016A000211","17 years","Males","Number","223","units ","0","v66461918","3.16.2","855","","","","0"
"2002/2003","Prince Edward Island","2016A000211","17 years","Females","Number","223","units ","0","v66461919","3.16.3","750","","","","0"
"2002/2003","Prince Edward Island","2016A000211","18 years","Total, sex","Number","223","units ","0","v66461920","3.17.1","408","","","","0"
"2002/2003","Prince Edward Island","2016A000211","18 years","Males","Number","223","units ","0","v66461921","3.17.2","249","","","","0"
"2002/2003","Prince Edward Island","2016A000211","18 years","Females","Number","223","units ","0","v66461922","3.17.3","159","","","","0"
"2002/2003","Prince Edward Island","2016A000211","19 years","Total, sex","Number","223","units ","0","v66461923","3.18.1","66","","","","0"
"2002/2003","Prince Edward Island","2016A000211","19 years","Males","Number","223","units ","0","v66461924","3.18.2","48","","","","0"
"2002/2003","Prince Edward Island","2016A000211","19 years","Females","Number","223","units ","0","v66461925","3.18.3","18","","","","0"
"2002/2003","Prince Edward Island","2016A000211","20 years","Total, sex","Number","223","units ","0","v66461926","3.19.1","15","","","","0"
"2002/2003","Prince Edward Island","2016A000211","20 years","Males","Number","223","units ","0","v66461927","3.19.2","12","","","","0"
"2002/2003","Prince Edward Island","2016A000211","20 years","Females","Number","223","units ","0","v66461928","3.19.3","6","","","","0"
"2002/2003","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units ","0","v66461932","4.1.1","150309","","","","0"
"2002/2003","Nova Scotia","2016A000212","Total, age","Males","Number","223","units ","0","v66461933","4.1.2","77160","","","","0"
"2002/2003","Nova Scotia","2016A000212","Total, age","Females","Number","223","units ","0","v66461934","4.1.3","73146","","","","0"
"2002/2003","Nova Scotia","2016A000212","4 years","Total, sex","Number","223","units ","0","v66461938","4.3.1","135","","","","0"
"2002/2003","Nova Scotia","2016A000212","4 years","Males","Number","223","units ","0","v66461939","4.3.2","69","","","","0"
"2002/2003","Nova Scotia","2016A000212","4 years","Females","Number","223","units ","0","v66461940","4.3.3","66","","","","0"
"2002/2003","Nova Scotia","2016A000212","5 years","Total, sex","Number","223","units ","0","v66461941","4.4.1","9528","","","","0"
"2002/2003","Nova Scotia","2016A000212","5 years","Males","Number","223","units ","0","v66461942","4.4.2","4965","","","","0"
"2002/2003","Nova Scotia","2016A000212","5 years","Females","Number","223","units ","0","v66461943","4.4.3","4563","","","","0"
"2002/2003","Nova Scotia","2016A000212","6 years","Total, sex","Number","223","units ","0","v66461944","4.5.1","10245","","","","0"
"2002/2003","Nova Scotia","2016A000212","6 years","Males","Number","223","units ","0","v66461945","4.5.2","5169","","","","0"
"2002/2003","Nova Scotia","2016A000212","6 years","Females","Number","223","units ","0","v66461946","4.5.3","5076","","","","0"
"2002/2003","Nova Scotia","2016A000212","7 years","Total, sex","Number","223","units ","0","v66461947","4.6.1","10383","","","","0"
"2002/2003","Nova Scotia","2016A000212","7 years","Males","Number","223","units ","0","v66461948","4.6.2","5328","","","","0"
"2002/2003","Nova Scotia","2016A000212","7 years","Females","Number","223","units ","0","v66461949","4.6.3","5052","","","","0"
"2002/2003","Nova Scotia","2016A000212","8 years","Total, sex","Number","223","units ","0","v66461950","4.7.1","10716","","","","0"
"2002/2003","Nova Scotia","2016A000212","8 years","Males","Number","223","units ","0","v66461951","4.7.2","5505","","","","0"
"2002/2003","Nova Scotia","2016A000212","8 years","Females","Number","223","units ","0","v66461952","4.7.3","5214","","","","0"
"2002/2003","Nova Scotia","2016A000212","9 years","Total, sex","Number","223","units ","0","v66461953","4.8.1","11100","","","","0"
"2002/2003","Nova Scotia","2016A000212","9 years","Males","Number","223","units ","0","v66461954","4.8.2","5604","","","","0"
"2002/2003","Nova Scotia","2016A000212","9 years","Females","Number","223","units ","0","v66461955","4.8.3","5496","","","","0"
"2002/2003","Nova Scotia","2016A000212","10 years","Total, sex","Number","223","units ","0","v66461956","4.9.1","11427","","","","0"
"2002/2003","Nova Scotia","2016A000212","10 years","Males","Number","223","units ","0","v66461957","4.9.2","5805","","","","0"
"2002/2003","Nova Scotia","2016A000212","10 years","Females","Number","223","units ","0","v66461958","4.9.3","5622","","","","0"
"2002/2003","Nova Scotia","2016A000212","11 years","Total, sex","Number","223","units ","0","v66461959","4.10.1","11724","","","","0"
"2002/2003","Nova Scotia","2016A000212","11 years","Males","Number","223","units ","0","v66461960","4.10.2","6051","","","","0"
"2002/2003","Nova Scotia","2016A000212","11 years","Females","Number","223","units ","0","v66461961","4.10.3","5673","","","","0"
"2002/2003","Nova Scotia","2016A000212","12 years","Total, sex","Number","223","units ","0","v66461962","4.11.1","12318","","","","0"
"2002/2003","Nova Scotia","2016A000212","12 years","Males","Number","223","units ","0","v66461963","4.11.2","6288","","","","0"
"2002/2003","Nova Scotia","2016A000212","12 years","Females","Number","223","units ","0","v66461964","4.11.3","6033","","","","0"
"2002/2003","Nova Scotia","2016A000212","13 years","Total, sex","Number","223","units ","0","v66461965","4.12.1","11931","","","","0"
"2002/2003","Nova Scotia","2016A000212","13 years","Males","Number","223","units ","0","v66461966","4.12.2","6132","","","","0"
"2002/2003","Nova Scotia","2016A000212","13 years","Females","Number","223","units ","0","v66461967","4.12.3","5802","","","","0"
"2002/2003","Nova Scotia","2016A000212","14 years","Total, sex","Number","223","units ","0","v66461968","4.13.1","11658","","","","0"
"2002/2003","Nova Scotia","2016A000212","14 years","Males","Number","223","units ","0","v66461969","4.13.2","5892","","","","0"
"2002/2003","Nova Scotia","2016A000212","14 years","Females","Number","223","units ","0","v66461970","4.13.3","5766","","","","0"
"2002/2003","Nova Scotia","2016A000212","15 years","Total, sex","Number","223","units ","0","v66461971","4.14.1","11742","","","","0"
"2002/2003","Nova Scotia","2016A000212","15 years","Males","Number","223","units ","0","v66461972","4.14.2","5898","","","","0"
"2002/2003","Nova Scotia","2016A000212","15 years","Females","Number","223","units ","0","v66461973","4.14.3","5844","","","","0"
"2002/2003","Nova Scotia","2016A000212","16 years","Total, sex","Number","223","units ","0","v66461974","4.15.1","11682","","","","0"
"2002/2003","Nova Scotia","2016A000212","16 years","Males","Number","223","units ","0","v66461975","4.15.2","5889","","","","0"
"2002/2003","Nova Scotia","2016A000212","16 years","Females","Number","223","units ","0","v66461976","4.15.3","5790","","","","0"
"2002/2003","Nova Scotia","2016A000212","17 years","Total, sex","Number","223","units ","0","v66461977","4.16.1","11154","","","","0"
"2002/2003","Nova Scotia","2016A000212","17 years","Males","Number","223","units ","0","v66461978","4.16.2","5769","","","","0"
"2002/2003","Nova Scotia","2016A000212","17 years","Females","Number","223","units ","0","v66461979","4.16.3","5382","","","","0"
"2002/2003","Nova Scotia","2016A000212","18 years","Total, sex","Number","223","units ","0","v66461980","4.17.1","2853","","","","0"
"2002/2003","Nova Scotia","2016A000212","18 years","Males","Number","223","units ","0","v66461981","4.17.2","1842","","","","0"
"2002/2003","Nova Scotia","2016A000212","18 years","Females","Number","223","units ","0","v66461982","4.17.3","1011","","","","0"
"2002/2003","Nova Scotia","2016A000212","19 years","Total, sex","Number","223","units ","0","v66461983","4.18.1","903","","","","0"
"2002/2003","Nova Scotia","2016A000212","19 years","Males","Number","223","units ","0","v66461984","4.18.2","579","","","","0"
